Order_ID,User_ID,User_Name,City,Restaurant_Name,Cuisine_Type,Order_Amount,Tip_Amount,Delivery_Time_Mins,Order_Date,Year,Month,Day_of_Week,Payment_Method,Order_Count_Year
ORD_000037,USER_0516,Vikram Nair,Lucknow,Burger King,Fast Food,293.51,44.28,40.0,2024-08-12,2024,8,Monday,Credit Card,6
ORD_000038,USER_0310,Karan Sharma,Chennai,Szechuan Kitchen,Chinese,436.1,0.0,55.0,2023-08-15,2023,8,Tuesday,Wallet,1
ORD_000039,USER_0753,Anjali Patel,Kolkata,Chowmein Corner,Chinese,473.03,90.46,44.0,2024-07-23,2024,7,Tuesday,Wallet,5
ORD_000040,USER_0327,Neha Singh,Indore,Giani's,Desserts,219.96,0.0,54.0,2023-06-02,2023,6,Friday,UPI,3
ORD_000041,USER_0247,Riya Gupta,Lucknow,La Pino'z,Italian,429.92,25.21,46.0,2024-12-25,2024,12,Wednesday,UPI,4
ORD_000042,USER_0571,Sneha Sharma,Bhopal,Chowmein Corner,Chinese,364.75,22.56,48.0,2023-09-06,2023,9,Wednesday,Debit Card,5
ORD_000043,USER_0095,Sneha Kumar,Chandigarh,Pizza Hut,Italian,639.45,35.77,24.0,2023-10-02,2023,10,Monday,Credit Card,6
ORD_000044,USER_0780,Arun Rao,Lucknow,Pasta Street,Italian,1082.53,209.53,20.0,2023-08-02,2023,8,Wednesday,Credit Card,2
ORD_000045,USER_0195,Priya Verma,Bangalore,Chennai Express,South Indian,308.69,33.8,35.0,2023-09-06,2023,9,Wednesday,Wallet,6
ORD_000046,USER_0330,Arun Verma,Chennai,Subway,Fast Food,390.14,34.81,52.0,2024-04-22,2024,4,Monday,UPI,4
ORD_000047,USER_0478,Rohit Verma,Kolkata,Chennai Express,South Indian,374.3,41.96,56.0,2023-11-24,2023,11,Friday,Credit Card,1
ORD_000048,USER_0760,Rohit Singh,Jaipur,Wok & Roll,Chinese,498.99,78.84,38.0,2023-09-25,2023,9,Monday,Credit Card,6
ORD_000049,USER_0201,Vikram Kumar,Mumbai,Paradise Biryani,Biryani,598.85,0.0,55.0,2024-01-24,2024,1,Wednesday,Debit Card,5
ORD_000050,USER_0264,Vikram Sharma,Bhopal,Delhi Chaat,Street Food,83.65,6.31,54.0,2024-04-16,2024,4,Tuesday,UPI,2
ORD_000051,USER_0189,Rahul Patel,Chennai,Amritsari Haveli,North Indian,703.44,0.0,23.0,2023-02-04,2023,2,Saturday,Cash,5
ORD_000052,USER_0423,Rohit Kumar,Lucknow,Dragon House,Chinese,568.23,0.0,52.0,2023-03-11,2023,3,Saturday,UPI,2
ORD_000053,USER_0383,Arjun Verma,Ahmedabad,Amritsari Haveli,North Indian,600.05,73.49,51.0,2024-10-15,2024,10,Tuesday,Cash,3
ORD_000054,USER_0007,Rahul Patel,Bhopal,Keventers,Desserts,311.77,0.0,38.0,2023-01-18,2023,1,Wednesday,Cash,3
ORD_000055,USER_0515,Meera Sharma,Bangalore,Baskin Robbins,Desserts,467.22,40.25,59.0,2023-04-20,2023,4,Thursday,Wallet,5
ORD_000056,USER_0259,Riya Patel,Indore,Biryani Blues,Biryani,255.31,30.34,35.0,2024-02-11,2024,2,Sunday,Credit Card,5
ORD_000057,USER_0308,Ananya Sharma,Ahmedabad,Saravana Bhavan,South Indian,221.58,26.9,60.0,2023-04-06,2023,4,Thursday,Cash,5
ORD_000058,USER_0720,Kavya Rao,Nagpur,Wok & Roll,Chinese,630.4,62.84,26.0,2024-05-26,2024,5,Sunday,Wallet,5
ORD_000059,USER_0044,Sanjay Joshi,Jaipur,Dominos,Italian,1098.8,62.61,24.0,2024-12-09,2024,12,Monday,Debit Card,4
ORD_000060,USER_0557,Rohit Joshi,Delhi,Dhaba Express,North Indian,209.39,0.0,29.0,2023-11-19,2023,11,Sunday,UPI,5
ORD_000061,USER_0079,Meera Sharma,Bangalore,Burger King,Fast Food,258.21,27.98,54.0,2024-07-31,2024,7,Wednesday,Debit Card,5
ORD_000062,USER_0394,Pooja Singh,Surat,Wok & Roll,Chinese,585.46,37.85,34.0,2024-05-27,2024,5,Monday,Cash,4
ORD_000063,USER_0349,Pooja Reddy,Kolkata,Natural Ice Cream,Desserts,353.65,41.58,34.0,2023-01-31,2023,1,Tuesday,Debit Card,3
ORD_000064,USER_0567,Neha Rao,Kolkata,Giani's,Desserts,371.88,23.37,59.0,2023-07-10,2023,7,Monday,Debit Card,2
ORD_000065,USER_0253,Riya Gupta,Jaipur,Saravana Bhavan,South Indian,146.27,21.22,44.0,2023-10-02,2023,10,Monday,Debit Card,8
ORD_000066,USER_0370,Neha Joshi,Kolkata,Saravana Bhavan,South Indian,382.89,,26.0,2023-01-06,2023,1,Friday,Credit Card,8
ORD_000067,USER_0090,Divya Kumar,Ahmedabad,Chowmein Corner,Chinese,500.64,32.79,25.0,2024-04-04,2024,4,Thursday,Debit Card,3
ORD_000068,USER_0568,Pooja Kumar,Jaipur,Madras Cafe,South Indian,335.33,17.39,46.0,2024-09-04,2024,9,Wednesday,UPI,4
ORD_000069,USER_0798,Amit Gupta,Ahmedabad,Madras Cafe,South Indian,271.59,0.0,44.0,2023-09-06,2023,9,Wednesday,Credit Card,5
ORD_000070,USER_0143,Suresh Nair,Bhopal,KFC,Fast Food,371.91,0.0,47.0,2023-10-02,2023,10,Monday,Debit Card,4
ORD_000071,USER_0432,Kavya Verma,Indore,Subway,Fast Food,312.51,49.42,51.0,2023-03-20,2023,3,Monday,Wallet,6
ORD_000072,USER_0632,Ananya Verma,Ahmedabad,Pasta Street,Italian,421.94,0.0,45.0,2023-04-20,2023,4,Thursday,Debit Card,6
ORD_000073,USER_0636,Neha Rao,Bangalore,Natural Ice Cream,Desserts,233.89,41.85,58.0,2024-03-26,2024,3,Tuesday,Credit Card,5
ORD_000074,USER_0308,Ananya Sharma,Ahmedabad,Lucknowi Biryani,Biryani,340.6,66.31,40.0,2024-12-12,2024,12,Thursday,Debit Card,5
ORD_000075,USER_0753,Anjali Patel,Kolkata,Pani Puri Wala,Street Food,115.18,0.0,45.0,2023-09-06,2023,9,Wednesday,Debit Card,4
ORD_000076,USER_0117,Sanjay Patel,Ahmedabad,Italian Bistro,Italian,461.93,24.96,49.0,2024-07-12,2024,7,Friday,Credit Card,1
ORD_000077,USER_0449,Priya Joshi,Pune,McDonald's,Fast Food,452.84,0.0,39.0,2024-02-23,2024,2,Friday,Credit Card,4
ORD_000078,USER_0259,Riya Patel,Indore,Chowmein Corner,Chinese,283.28,34.53,45.0,2024-01-22,2024,1,Monday,Wallet,5
ORD_000079,USER_0519,Sneha Nair,Delhi,Cream Stone,Desserts,416.29,76.73,54.0,2023-02-07,2023,2,Tuesday,Wallet,6
ORD_000080,USER_0654,Sanjay Rao,Indore,Saravana Bhavan,South Indian,297.28,43.72,,2023-09-12,2023,9,Tuesday,Wallet,8
ORD_000081,USER_0661,Arun Nair,Ahmedabad,Natural Ice Cream,Desserts,142.38,0.0,34.0,2024-03-16,2024,3,Saturday,Wallet,5
ORD_000082,USER_0765,Arun Rao,Mumbai,Pasta Street,Italian,652.02,90.17,52.0,2024-01-19,2024,1,Friday,Credit Card,5
ORD_000083,USER_0354,Arun Joshi,Kolkata,Delhi Darbar,North Indian,377.26,23.72,29.0,2023-04-18,2023,4,Tuesday,Debit Card,5
ORD_000084,USER_0320,Meera Sharma,Jaipur,Hyderabadi House,Biryani,564.78,36.51,48.0,2023-07-31,2023,7,Monday,Debit Card,3
ORD_000085,USER_0069,Anjali Reddy,Jaipur,McDonald's,Fast Food,201.79,29.7,,2024-12-28,2024,12,Saturday,Credit Card,4
ORD_000086,USER_0529,Priya Rao,Bhopal,Szechuan Kitchen,Chinese,398.95,47.6,45.0,2023-06-13,2023,6,Tuesday,Credit Card,2
ORD_000087,USER_0191,Ananya Sharma,Bhopal,Giani's,Desserts,394.96,46.38,47.0,2023-01-30,2023,1,Monday,UPI,5
ORD_000088,USER_0005,Amit Rao,Nagpur,Dominos,Italian,977.09,58.02,26.0,2023-10-13,2023,10,Friday,Wallet,6
ORD_000089,USER_0192,Pooja Rao,Ahmedabad,Biryani Blues,Biryani,520.29,0.0,51.0,2023-07-21,2023,7,Friday,Wallet,4
ORD_000090,USER_0655,Vikram Patel,Kolkata,Lucknowi Biryani,Biryani,627.92,64.17,49.0,2024-02-02,2024,2,Friday,Wallet,8
ORD_000091,USER_0177,Arjun Verma,Mumbai,Wendy's,Fast Food,188.14,0.0,27.0,2024-08-27,2024,8,Tuesday,Credit Card,1
ORD_000092,USER_0313,Anjali Sharma,Indore,Dosa Plaza,South Indian,308.03,34.73,28.0,2024-01-18,2024,1,Thursday,Wallet,2
ORD_000093,USER_0393,Kavya Kumar,Chennai,Baskin Robbins,Desserts,354.2,51.99,31.0,2024-05-13,2024,5,Monday,Wallet,2
ORD_000094,USER_0171,Riya Nair,Kolkata,Bombay Street,Street Food,87.42,12.49,42.0,2023-05-24,2023,5,Wednesday,Cash,2
ORD_000095,USER_0497,Vikram Patel,Kolkata,Dragon House,Chinese,683.72,84.95,51.0,2024-01-29,2024,1,Monday,UPI,2
ORD_000096,USER_0728,Kavya Gupta,Pune,Delhi Chaat,Street Food,66.53,0.0,34.0,2023-06-21,2023,6,Wednesday,Debit Card,2
ORD_000097,USER_0034,Anjali Gupta,Chandigarh,Burger King,Fast Food,279.9,37.74,51.0,2024-07-04,2024,7,Thursday,Wallet,5
ORD_000098,USER_0524,Sanjay Rao,Ahmedabad,Madras Cafe,South Indian,180.37,35.83,54.0,2023-04-27,2023,4,Thursday,Cash,4
ORD_000099,USER_0779,Suresh Joshi,Nagpur,Pani Puri Wala,Street Food,247.96,0.0,35.0,2023-08-12,2023,8,Saturday,Debit Card,6
ORD_000100,USER_0034,Anjali Gupta,Chandigarh,Bombay Street,Street Food,222.44,0.0,27.0,2023-12-23,2023,12,Saturday,Credit Card,4
ORD_000101,USER_0215,Amit Verma,Indore,Lucknowi Biryani,Biryani,499.72,83.82,33.0,2024-10-09,2024,10,Wednesday,Cash,6
ORD_000102,USER_0584,Arun Patel,Jaipur,Lucknowi Biryani,Biryani,617.8,0.0,38.0,2023-10-15,2023,10,Sunday,Debit Card,6
ORD_000103,USER_0587,Pooja Patel,Lucknow,Wendy's,Fast Food,516.83,0.0,46.0,2024-11-26,2024,11,Tuesday,Cash,3
ORD_000104,USER_0284,Sanjay Gupta,Chandigarh,Dragon House,Chinese,315.81,27.52,45.0,2023-09-13,2023,9,Wednesday,UPI,4
ORD_000105,USER_0146,Anjali Patel,Delhi,Subway,Fast Food,353.4,64.33,25.0,2024-01-20,2024,1,Saturday,UPI,9
ORD_000106,USER_0528,Meera Nair,Pune,KFC,Fast Food,577.61,29.09,25.0,2024-04-10,2024,4,Wednesday,UPI,6
ORD_000107,USER_0651,Divya Patel,Kolkata,Behrouz Biryani,Biryani,478.4,,51.0,2024-07-01,2024,7,Monday,Debit Card,5
ORD_000108,USER_0331,Pooja Singh,Kolkata,KFC,Fast Food,410.07,50.36,41.0,2024-07-14,2024,7,Sunday,Cash,6
ORD_000109,USER_0048,Meera Joshi,Chennai,Chennai Express,South Indian,137.27,15.95,20.0,2023-01-17,2023,1,Tuesday,UPI,4
ORD_000110,USER_0208,Priya Reddy,Bangalore,Mainland China,Chinese,643.49,41.18,43.0,2023-06-12,2023,6,Monday,Debit Card,6
ORD_000111,USER_0085,Amit Nair,Lucknow,Paradise Biryani,Biryani,477.44,73.96,34.0,2023-02-23,2023,2,Thursday,UPI,6
ORD_000112,USER_0672,Vikram Reddy,Lucknow,Saravana Bhavan,South Indian,164.03,0.0,57.0,2023-01-02,2023,1,Monday,Credit Card,7
ORD_000113,USER_0532,Amit Joshi,Bangalore,Chaat Corner,Street Food,189.12,37.49,47.0,2023-01-09,2023,1,Monday,Credit Card,5
ORD_000114,USER_0490,Kavya Nair,Chandigarh,Dosa Plaza,South Indian,126.8,8.3,43.0,2024-01-28,2024,1,Sunday,Debit Card,3
ORD_000115,USER_0141,Priya Sharma,Delhi,Baskin Robbins,Desserts,497.18,0.0,53.0,2024-10-18,2024,10,Friday,Wallet,6
ORD_000116,USER_0009,Suresh Rao,Kolkata,Chowmein Corner,Chinese,575.09,41.81,46.0,2023-12-26,2023,12,Tuesday,Wallet,3
ORD_000117,USER_0704,Rohit Joshi,Mumbai,Golgappa House,Street Food,229.32,0.0,27.0,2023-03-30,2023,3,Thursday,Wallet,2
ORD_000118,USER_0748,Divya Rao,Bangalore,Natural Ice Cream,Desserts,225.8,0.0,37.0,2024-03-15,2024,3,Friday,Cash,2
ORD_000119,USER_0255,Kavya Kumar,Delhi,McDonald's,Fast Food,544.12,0.0,58.0,2024-11-05,2024,11,Tuesday,Wallet,6
ORD_000120,USER_0194,Divya Singh,Bhopal,Natural Ice Cream,Desserts,121.83,23.54,51.0,2024-10-23,2024,10,Wednesday,UPI,3
ORD_000121,USER_0116,Priya Joshi,Lucknow,Pasta Street,Italian,834.54,164.12,43.0,2024-10-15,2024,10,Tuesday,Debit Card,4
ORD_000122,USER_0136,Meera Singh,Ahmedabad,Cream Stone,Desserts,246.16,40.47,24.0,2024-03-06,2024,3,Wednesday,Cash,3
ORD_000123,USER_0602,Kavya Reddy,Bhopal,Saravana Bhavan,South Indian,164.72,31.68,45.0,2023-09-26,2023,9,Tuesday,Wallet,6
ORD_000124,USER_0294,Rajesh Rao,Bangalore,Giani's,Desserts,260.91,34.09,29.0,2024-12-19,2024,12,Thursday,Debit Card,3
ORD_000125,USER_0086,Vikram Singh,Indore,McDonald's,Fast Food,564.42,41.38,40.0,2024-06-07,2024,6,Friday,UPI,6
ORD_000126,USER_0601,Priya Sharma,Bhopal,Udipi Kitchen,South Indian,231.25,19.84,35.0,2024-12-16,2024,12,Monday,Cash,2
ORD_000127,USER_0445,Rajesh Verma,Chandigarh,Chennai Express,South Indian,282.65,45.58,31.0,2024-09-18,2024,9,Wednesday,Cash,1
ORD_000128,USER_0013,Arun Rao,Bangalore,Wok & Roll,Chinese,473.39,60.4,36.0,2023-06-17,2023,6,Saturday,Credit Card,5
ORD_000129,USER_0381,Ananya Gupta,Bangalore,Mainland China,Chinese,597.14,0.0,47.0,2023-05-01,2023,5,Monday,Debit Card,6
ORD_000130,USER_0537,Priya Verma,Ahmedabad,Udipi Kitchen,South Indian,392.52,48.84,52.0,2024-12-30,2024,12,Monday,Debit Card,2
ORD_000131,USER_0057,Meera Patel,Bangalore,Pani Puri Wala,Street Food,123.54,0.0,26.0,2023-06-20,2023,6,Tuesday,Wallet,1
ORD_000132,USER_0691,Karan Kumar,Nagpur,Dosa Plaza,South Indian,100.77,5.22,22.0,2024-06-05,2024,6,Wednesday,UPI,4
ORD_000133,USER_0373,Meera Reddy,Kolkata,Baskin Robbins,Desserts,472.46,62.8,46.0,2023-07-03,2023,7,Monday,Credit Card,7
ORD_000134,USER_0330,Arun Verma,Chennai,Pasta Street,Italian,544.13,0.0,43.0,2023-11-24,2023,11,Friday,Cash,7
ORD_000135,USER_0515,Meera Sharma,Bangalore,Dhaba Express,North Indian,682.6,131.82,24.0,2023-08-17,2023,8,Thursday,UPI,5
ORD_000136,USER_0290,Divya Gupta,Jaipur,KFC,Fast Food,398.89,0.0,32.0,2023-03-30,2023,3,Thursday,Debit Card,6
ORD_000137,USER_0578,Vikram Nair,Bangalore,Wendy's,Fast Food,358.77,44.49,32.0,2023-09-06,2023,9,Wednesday,Wallet,6
ORD_000138,USER_0779,Suresh Joshi,Nagpur,Dominos,Italian,1139.16,0.0,54.0,2023-01-07,2023,1,Saturday,Debit Card,6
ORD_000139,USER_0652,Meera Reddy,Pune,Punjabi Tadka,North Indian,655.36,105.32,39.0,2023-01-02,2023,1,Monday,Cash,3
ORD_000140,USER_0211,Kavya Kumar,Lucknow,Pasta Street,Italian,1165.07,83.13,37.0,2024-05-18,2024,5,Saturday,Cash,3
ORD_000141,USER_0045,Arjun Patel,Kolkata,Italian Bistro,Italian,930.76,182.6,25.0,2024-02-27,2024,2,Tuesday,Wallet,2
ORD_000142,USER_0098,Karan Nair,Lucknow,Chowmein Corner,Chinese,516.35,0.0,28.0,2023-03-18,2023,3,Saturday,Credit Card,5
ORD_000143,USER_0299,Divya Nair,Chandigarh,KFC,Fast Food,465.33,45.47,37.0,2024-02-07,2024,2,Wednesday,Credit Card,1
ORD_000144,USER_0077,Suresh Sharma,Lucknow,Dominos,Italian,398.08,0.0,48.0,2024-08-21,2024,8,Wednesday,UPI,3
ORD_000145,USER_0322,Pooja Kumar,Bhopal,Keventers,Desserts,243.31,28.66,49.0,2024-07-02,2024,7,Tuesday,Debit Card,5
ORD_000146,USER_0123,Neha Patel,Jaipur,Dosa Plaza,South Indian,191.26,26.87,33.0,2024-12-03,2024,12,Tuesday,Debit Card,2
ORD_000147,USER_0152,Riya Patel,Ahmedabad,Dosa Plaza,South Indian,218.87,0.0,39.0,2023-12-31,2023,12,Sunday,Debit Card,2
ORD_000148,USER_0179,Sanjay Kumar,Nagpur,Delhi Darbar,North Indian,533.57,34.26,26.0,2024-04-08,2024,4,Monday,Credit Card,3
ORD_000149,USER_0125,Sneha Sharma,Pune,Punjab Grill,North Indian,278.43,29.47,60.0,2023-08-16,2023,8,Wednesday,Cash,5
ORD_000150,USER_0597,Riya Kumar,Bhopal,McDonald's,Fast Food,598.72,0.0,48.0,2023-01-23,2023,1,Monday,Credit Card,2
ORD_000151,USER_0095,Sneha Kumar,Chandigarh,Behrouz Biryani,Biryani,859.6,0.0,56.0,2023-02-13,2023,2,Monday,UPI,6
ORD_000152,USER_0742,Sneha Joshi,Chennai,Giani's,Desserts,253.09,26.09,31.0,2023-01-31,2023,1,Tuesday,Debit Card,2
ORD_000153,USER_0287,Neha Joshi,Bangalore,Golgappa House,Street Food,172.82,25.42,51.0,2023-02-05,2023,2,Sunday,UPI,1
ORD_000154,USER_0564,Rahul Rao,Nagpur,Chaat Corner,Street Food,105.96,0.0,32.0,2023-03-31,2023,3,Friday,Wallet,4
ORD_000155,USER_0256,Rohit Singh,Jaipur,Delhi Darbar,North Indian,415.47,50.98,56.0,2024-12-31,2024,12,Tuesday,Wallet,6
ORD_000156,USER_0330,Arun Verma,Chennai,Natural Ice Cream,Desserts,110.43,6.01,37.0,2023-07-04,2023,7,Tuesday,Cash,7
ORD_000157,USER_0484,Kavya Nair,Jaipur,Lucknowi Biryani,Biryani,881.79,0.0,35.0,2023-08-27,2023,8,Sunday,Debit Card,4
ORD_000158,USER_0547,Vikram Kumar,Lucknow,Dhaba Express,North Indian,707.9,73.07,,2024-08-12,2024,8,Monday,Credit Card,2
ORD_000159,USER_0243,Rajesh Nair,Mumbai,Biryani Blues,Biryani,219.74,42.22,56.0,2024-08-28,2024,8,Wednesday,Credit Card,3
ORD_000160,USER_0577,Anjali Kumar,Chennai,Pasta Street,Italian,578.15,36.73,34.0,2024-07-09,2024,7,Tuesday,Wallet,3
ORD_000161,USER_0225,Riya Nair,Lucknow,Amritsari Haveli,North Indian,200.41,16.08,28.0,2024-05-04,2024,5,Saturday,Debit Card,5
ORD_000162,USER_0735,Amit Joshi,Chennai,Mainland China,Chinese,259.86,48.75,27.0,2023-03-02,2023,3,Thursday,Wallet,5
ORD_000163,USER_0374,Rahul Patel,Surat,Udipi Kitchen,South Indian,382.58,24.93,39.0,2024-12-22,2024,12,Sunday,Debit Card,3
ORD_000164,USER_0140,Priya Gupta,Nagpur,Chowmein Corner,Chinese,682.3,51.94,55.0,2024-10-16,2024,10,Wednesday,Wallet,7
ORD_000165,USER_0366,Arjun Rao,Bhopal,Italian Bistro,Italian,640.55,60.33,31.0,2023-06-29,2023,6,Thursday,Cash,5
ORD_000166,USER_0719,Divya Patel,Bangalore,Cream Stone,Desserts,172.83,29.61,59.0,2023-02-03,2023,2,Friday,Credit Card,6
ORD_000167,USER_0655,Vikram Patel,Kolkata,Chennai Express,South Indian,199.35,0.0,42.0,2023-05-25,2023,5,Thursday,Debit Card,4
ORD_000168,USER_0172,Rahul Nair,Hyderabad,Udipi Kitchen,South Indian,103.42,0.0,24.0,2024-04-02,2024,4,Tuesday,Debit Card,5
ORD_000169,USER_0263,Rajesh Kumar,Pune,Saravana Bhavan,South Indian,215.78,42.16,,2023-02-19,2023,2,Sunday,UPI,5
ORD_000170,USER_0388,Rohit Kumar,Bhopal,Lucknowi Biryani,Biryani,271.0,48.67,34.0,2024-01-20,2024,1,Saturday,Credit Card,5
ORD_000171,USER_0463,Sanjay Patel,Ahmedabad,Saravana Bhavan,South Indian,106.02,0.0,26.0,2023-10-29,2023,10,Sunday,Cash,4
ORD_000172,USER_0351,Anjali Nair,Ahmedabad,Chowmein Corner,Chinese,579.39,107.02,25.0,2023-06-14,2023,6,Wednesday,Debit Card,4
ORD_000173,USER_0609,Divya Patel,Chennai,Chaat Corner,Street Food,238.49,0.0,47.0,2024-03-17,2024,3,Sunday,Credit Card,3
ORD_000174,USER_0055,Pooja Kumar,Hyderabad,Udipi Kitchen,South Indian,392.32,52.22,54.0,2023-07-30,2023,7,Sunday,Debit Card,4
ORD_000175,USER_0677,Ananya Sharma,Bangalore,KFC,Fast Food,193.16,25.58,51.0,2023-09-01,2023,9,Friday,Credit Card,5
ORD_000176,USER_0056,Vikram Nair,Bangalore,Behrouz Biryani,Biryani,261.34,37.57,50.0,2024-03-13,2024,3,Wednesday,Credit Card,4
ORD_000177,USER_0100,Neha Sharma,Indore,Dhaba Express,North Indian,582.91,70.55,27.0,2023-06-24,2023,6,Saturday,Debit Card,3
ORD_000178,USER_0408,Meera Patel,Bangalore,Delhi Chaat,Street Food,103.0,11.14,43.0,2024-11-07,2024,11,Thursday,UPI,4
ORD_000179,USER_0379,Ananya Nair,Chandigarh,Chowmein Corner,Chinese,368.48,30.93,37.0,2023-02-15,2023,2,Wednesday,Wallet,3
ORD_000180,USER_0064,Arjun Nair,Indore,Wok & Roll,Chinese,550.66,61.73,57.0,2023-03-29,2023,3,Wednesday,Credit Card,2
ORD_000181,USER_0567,Neha Rao,Kolkata,Delhi Darbar,North Indian,451.18,81.23,50.0,2024-06-19,2024,6,Wednesday,Wallet,4
